est,fol,pid,sex,age,id1,id2,id3,id4,id5,id6,id7,id8,id9
50000,290,50290,2,59,7,6,6,5,5,5,5,5,7
50000,291,50291,2,60,7,7,7,7,7,7,7,7,7
50000,292,50292,2,30,6,7,7,7,6,6,6,6,6
50000,293,50293,2,23,5,4,7,4,3,2,4,3,5
50000,294,50294,2,43,1,1,1,1,3,2,1,1,1
50000,295,50295,2,38,7,4,7,5,5,4,5,7,7
50000,296,50296,2,48,7,7,7,7,7,6,7,6,6
50000,297,50297,2,29,7,6,7,7,7,6,7,7,4
50000,298,50298,2,27,7,7,7,7,7,7,7,7,7
50000,299,50299,2,28,5,7,7,6,6,4,6,5,5
50000,300,50300,1,48,7,7,7,7,7,7,7,7,7
50000,67,50067,2,23,6,6,6,4,5,6,4,6,5
50000,68,50068,2,21,6,5,7,4,6,4,5,6,5
50000,69,50069,2,24,4,6,7,4,6,6,7,6,4
50000,70,50070,1,24,2,3,1,2,3,2,3,3,4
50000,72,50072,2,41,6,6,7,6,5,5,5,6,7
50000,73,50073,2,57,7,7,,7,7,7,7,7,7
50000,74,50074,1,64,7,7,7,5,5,5,7,7,7
50000,75,50075,2,20,7,7,7,5,6,4,7,7,7
50000,77,50077,2,27,7,7,7,7,7,7,7,7,7
50000,78,50078,1,31,1,1,1,1,2,4,1,1,1
50000,79,50079,2,28,6,6,7,5,6,5,6,6,6
50000,80,50080,2,49,6,6,7,6,6,5,5,6,6
50000,81,50081,2,,7,7,7,7,7,7,7,7,7
50000,82,50082,2,28,7,7,7,5,4,5,5,7,7
50000,83,50083,2,62,7,7,7,7,6,7,7,7,7
50000,84,50084,2,52,6,7,7,7,7,6,6,7,5
50000,85,50085,1,26,7,7,7,7,6,5,6,6,6
50000,86,50086,1,30,7,7,7,7,4,4,4,7,7
50000,89,50089,1,53,7,7,7,7,7,7,7,7,7
50000,90,50090,2,47,7,7,7,7,6,6,7,7,7
50000,30,50030,2,47,6,7,7,7,7,7,7,6,6
50000,31,50031,2,28,6,6,6,6,6,6,7,7,7
50000,32,50032,2,32,7,7,7,7,7,7,7,7,7
50000,110,50110,1,21,5,4,6,4,4,4,4,4,3
50000,142,50142,1,30,4,4,4,4,3,3,4,4,4
50000,143,50143,2,33,4,4,4,4,4,1,4,4,4
50000,144,50144,1,43,2,3,3,3,2,1,3,3,1
50000,145,50145,2,40,3,3,3,3,2,1,3,3,1
50000,234,50234,2,41,7,7,7,6,5,6,7,7,5
50000,235,50235,1,42,7,7,7,7,7,7,7,7,7
50000,236,50236,2,42,7,7,7,1,1,1,7,7,6
50000,237,50237,,,7,7,7,7,7,7,7,7,7
50000,238,50238,1,38,7,7,7,7,7,7,7,7,7
50000,239,50239,2,41,7,7,7,7,7,7,7,7,7
50000,240,50240,2,38,7,7,7,7,7,7,7,7,7
50000,87,50087,1,44,7,7,7,7,7,7,7,7,7
50000,189,50189,2,39,7,7,7,5,7,6,6,7,7
50000,243,50243,1,47,7,7,7,7,7,7,7,7,7
50000,256,50256,2,54,6,5,7,6,6,6,6,6,6
50000,257,50257,1,58,7,7,7,7,7,7,7,7,7
50000,258,50258,1,46,7,7,7,7,7,7,7,7,7
50000,186,50186,1,38,6,6,6,6,6,6,6,6,6
50000,188,50188,2,48,7,7,7,7,7,7,7,7,7
50000,190,50190,1,27,6,6,6,5,5,5,5,5,6
70000,1,70001,2,22,6,6,7,6,6,4,4,6,4
70000,2,70002,1,23,1,3,4,2,3,4,3,4,3
70000,3,70003,1,21,4,6,7,2,5,1,6,5,4
70000,4,70004,1,19,5,5,6,6,6,5,5,5,4
70000,5,70005,2,23,1,4,6,1,1,1,6,4,1
70000,6,70006,1,56,4,4,5,3,4,3,4,4,4
70000,7,70007,2,46,6,6,6,5,5,5,5,5,5
70000,8,70008,1,25,4,5,7,4,5,3,6,4,4
70000,9,70009,1,31,6,6,7,4,4,1,7,6,4
70000,10,70010,2,23,6,6,6,5,5,4,5,5,5
70000,11,70011,1,24,6,3,6,5,5,5,5,5,3
70000,12,70012,1,19,6,5,4,5,5,6,5,6,5
70000,13,70013,1,23,5,5,6,4,5,4,4,5,5
70000,14,70014,2,20,4,4,2,4,4,3,5,4,1
70000,15,70015,2,20,7,7,7,7,7,7,7,7,7
70000,16,70016,1,28,6,6,6,5,6,4,6,6,6
70000,17,70017,2,26,6,5,7,5,5,1,4,5,2
70000,18,70018,2,19,5,6,3,1,4,1,7,4,1
70000,19,70019,2,19,6,6,6,5,5,3,7,5,1
70000,20,70020,1,24,6,6,7,7,6,2,5,5,5
70000,21,70021,2,22,7,5,7,2,3,3,7,5,3
70000,22,70022,1,23,5,6,7,5,4,4,7,5,4
70000,23,70023,1,22,5,5,5,4,5,4,5,5,4
70000,24,70024,1,24,7,7,7,7,7,7,7,7,7
70000,25,70025,2,18,7,7,7,7,7,6,7,7,7
70000,26,70026,1,20,4,4,6,4,4,5,5,5,4
70000,27,70027,2,19,5,5,7,5,5,2,6,5,4
70000,28,70028,1,22,5,5,5,5,5,5,5,5,5
70000,29,70029,1,19,7,7,7,7,7,6,6,7,7
70000,37,70037,2,32,5,6,6,6,6,7,7,6,6
70000,38,70038,1,30,7,7,7,7,7,5,6,7,4
70000,30,70030,1,24,4,4,7,4,4,2,5,4,1
70000,39,70039,1,54,6,6,6,6,6,6,6,6,5
70000,40,70040,2,75,4,5,5,4,5,3,4,4,5
70000,41,70041,2,48,5,5,5,5,5,4,5,5,5
70000,42,70042,1,80,5,5,5,5,5,4,4,5,5
70000,43,70043,1,45,6,6,6,6,6,5,5,5,5
70000,44,70044,2,50,6,6,6,6,6,5,5,5,5
70000,45,70045,1,72,5,5,5,5,5,5,5,6,5
70000,46,70046,1,27,6,6,6,6,5,5,5,5,5
70000,49,70049,2,32,6,6,6,5,5,6,6,6,6
70000,50,70050,1,18,6,6,6,5,5,4,4,5,5
70000,51,70051,2,40,5,5,5,4,5,3,4,4,4
70000,57,70057,1,18,6,7,7,7,6,5,5,6,5
70000,58,70058,1,18,3,4,7,3,4,4,7,6,6
70000,59,70059,2,21,6,7,7,5,6,5,6,6,5
70000,60,70060,2,22,5,5,5,4,4,4,5,5,5
70000,61,70061,2,24,5,7,7,4,6,5,7,7,5
70000,62,70062,1,18,5,2,4,6,1,6,4,1,2
70000,63,70063,2,18,7,6,7,6,7,7,7,5,7
70000,64,70064,2,18,6,5,5,6,5,5,5,5,5
70000,65,70065,2,19,7,7,7,7,7,7,6,7,7
70000,66,70066,1,18,7,7,7,4,5,4,6,6,6
70000,68,70068,2,14,3,5,3,3,4,1,4,4,1
70000,69,70069,2,19,2,2,1,3,1,3,4,2,2
70000,70,70070,1,18,7,7,7,7,7,4,6,7,6
70000,71,70071,2,18,6,6,7,5,6,5,4,6,2
70000,72,70072,2,25,7,7,7,7,5,5,7,7,6
70000,73,70073,2,19,6,6,6,5,5,4,6,6,4
70000,32,70032,1,22,6,6,6,4,6,6,6,6,4
70000,148,70148,1,22,7,4,7,7,4,4,4,5,4
70000,149,70149,1,22,7,5,7,5,5,5,7,7,7
70000,150,70150,1,24,6,6,7,7,7,5,6,6,4
70000,151,70151,2,19,6,7,7,6,6,6,6,7,4
70000,152,70152,2,25,5,5,6,6,5,5,7,7,7
70000,153,70153,2,23,5,5,6,4,5,4,5,5,6
70000,154,70154,2,24,7,7,7,7,7,4,7,7,7
70000,155,70155,2,40,7,7,7,7,7,7,7,7,7
70000,156,70156,1,31,7,7,7,7,6,7,7,7,7
70000,157,70157,2,18,7,7,7,6,4,5,5,6,4
70000,158,70158,1,22,6,6,6,6,5,5,5,5,4
70000,159,70159,2,24,5,5,4,4,5,3,6,3,4
70000,160,70160,2,21,5,6,6,5,5,5,6,6,6
70000,118,70118,1,24,4,4,4,5,5,4,6,4,3
70000,119,70119,1,25,6,6,7,6,6,6,6,6,6
70000,120,70120,2,21,6,6,6,6,3,3,6,4,3
70000,121,70121,2,27,4,4,4,4,4,4,4,4,4
70000,122,70122,2,23,3,4,5,5,4,4,4,4,4
70000,123,70123,2,18,6,6,6,6,6,5,6,6,6
70000,124,70124,1,18,6,6,6,6,6,5,6,6,6
70000,125,70125,2,36,6,6,5,5,5,5,5,5,5
70000,126,70126,2,50,5,5,5,4,4,4,5,5,4
70000,127,70127,2,41,6,5,6,5,5,4,5,4,5
70000,128,70128,2,61,6,6,6,5,6,6,4,5,4
70000,129,70129,2,51,5,5,5,5,5,5,5,5,5
70000,130,70130,1,58,5,4,4,4,4,4,4,4,4
70000,131,70131,2,24,4,3,4,3,4,3,4,4,4
70000,132,70132,1,54,6,5,5,5,5,5,5,5,5
70000,133,70133,2,18,5,5,5,5,5,5,5,5,5
70000,134,70134,1,20,5,5,5,5,5,5,5,5,5
70000,135,70135,2,23,5,5,5,5,4,4,5,5,5
70000,136,70136,2,19,6,6,6,6,6,6,7,7,6
70000,137,70137,2,18,5,6,7,5,3,4,5,4,1
70000,138,70138,2,18,1,2,7,1,3,1,3,1,1
70000,139,70139,2,18,4,5,4,4,3,2,5,4,1
70000,140,70140,2,29,5,5,5,4,5,4,4,5,5
70000,141,70141,1,25,5,5,5,5,5,5,5,5,5
70000,142,70142,2,19,5,5,5,5,5,5,5,5,5
70000,143,70143,1,20,5,5,5,5,5,5,5,5,5
70000,144,70144,2,32,5,5,5,5,5,5,5,5,5
70000,145,70145,1,22,6,5,5,5,5,5,5,5,5
70000,146,70146,2,26,5,5,5,5,5,4,5,6,4
70000,147,70147,2,20,6,6,6,5,5,5,5,5,5
70000,88,70088,1,65,7,7,7,7,7,4,6,6,4
70000,89,70089,2,54,6,6,6,6,6,6,6,6,5
70000,90,70090,1,25,6,6,6,4,5,4,5,5,4
70000,91,70091,2,30,7,7,7,7,7,4,4,7,4
70000,92,70092,2,53,6,6,6,6,6,4,6,6,5
70000,93,70093,1,59,6,7,7,6,6,4,6,6,6
70000,94,70094,2,63,7,7,7,7,7,7,7,6,6
70000,95,70095,2,66,5,3,5,2,3,1,1,3,2
70000,96,70096,1,35,6,6,6,6,6,4,6,6,5
70000,31,70031,2,27,6,6,7,4,6,4,7,7,4
70000,97,70097,2,36,7,7,7,5,6,5,7,7,7
70000,98,70098,2,22,7,6,6,6,6,6,6,6,6
70000,99,70099,1,18,5,5,5,4,4,5,5,5,5
70000,100,70100,2,49,6,6,5,6,5,6,7,6,6
70000,101,70101,2,22,6,6,7,6,5,4,7,6,
70000,102,70102,1,23,3,7,6,5,5,5,7,4,3
70000,103,70103,1,23,7,7,7,6,6,5,4,6,6
70000,104,70104,1,23,5,4,7,6,5,6,7,5,4
70000,105,70105,2,28,7,5,7,7,6,5,6,6,6
70000,106,70106,2,55,5,6,6,5,6,5,5,6,6
70000,35,70035,2,24,5,5,6,3,3,3,7,4,4
70000,34,70034,2,18,4,6,6,6,3,1,6,4,4
70000,33,70033,2,18,7,6,7,5,5,5,6,6,6
70000,52,70052,2,26,4,4,4,4,4,4,4,4,4
70000,53,70053,1,18,5,5,5,5,5,4,4,4,4
70000,54,70054,2,20,5,5,5,5,5,4,4,4,4
70000,55,70055,2,37,5,5,6,6,6,4,4,4,5
70000,56,70056,2,35,5,5,5,5,5,5,5,5,5
70000,178,70178,1,41,6,6,6,6,6,6,6,6,6
70000,179,70179,2,21,6,5,4,5,5,6,5,6,5
70000,180,70180,1,27,6,6,6,6,6,6,6,6,5
70000,181,70181,1,30,5,5,5,5,4,4,5,5,5
70000,36,70036,1,32,5,7,7,5,5,5,6,5,5
70000,74,70074,2,34,6,6,7,7,5,5,6,6,6
70000,78,70078,2,26,7,7,7,7,7,4,6,7,6
70000,166,70166,1,34,7,7,7,7,7,5,7,6,6
70000,47,70047,1,22,5,5,5,4,4,5,4,5,5
70000,48,70048,2,56,5,5,4,4,3,4,5,4,4
70000,163,70163,2,36,6,6,7,6,5,3,5,6,5
70000,164,70164,2,53,6,6,7,6,6,3,7,6,6
70000,161,70161,1,31,7,7,7,7,7,4,7,7,4
70000,79,70079,2,36,7,7,7,7,7,7,7,7,7
70000,75,70075,1,43,6,6,7,7,7,5,6,6,6
70000,81,70081,1,43,7,7,7,7,6,6,6,6,6
70000,77,70077,1,28,7,7,7,7,7,7,7,7,7
70000,76,70076,2,40,7,7,7,6,6,7,7,7,7
70000,82,70082,1,40,7,7,7,7,7,7,7,7,7
70000,162,70162,1,29,7,7,7,7,7,7,7,7,7
70000,85,70085,2,60,6,6,6,6,6,6,5,6,5
70000,83,70083,1,39,2,7,7,1,3,1,7,5,1
70000,84,70084,1,36,1,4,2,1,4,1,4,1,1
70000,86,70086,1,25,3,7,7,5,5,1,1,4,4
70000,80,70080,1,37,2,2,2,2,2,2,2,2,2
70000,165,70165,1,36,7,7,7,7,7,7,7,7,7
80000,45,80045,2,27,5,5,5,5,5,2,6,4,2
80000,110,80110,2,24,6,6,6,6,6,6,6,6,6
80000,39,80039,2,22,6,6,6,5,6,5,6,6,6
80000,26,80026,1,23,7,5,7,5,5,1,5,7,4
80000,120,80120,1,22,2,3,4,4,4,1,4,4,4
80000,114,80114,2,20,5,5,6,5,5,4,6,6,4
80000,69,80069,1,23,6,6,6,6,6,6,6,6,5
80000,143,80143,1,22,3,3,3,3,5,1,4,3,2
80000,5,80005,1,22,6,4,6,5,5,2,5,5,5
80000,20,80020,1,21,6,6,7,6,5,5,5,6,6
80000,38,80038,1,20,4,4,7,4,4,4,4,4,4
80000,58,80058,1,22,5,5,5,4,4,4,4,4,4
80000,67,80067,1,22,7,6,7,5,5,5,6,7,7
80000,33,80033,1,22,4,7,7,4,4,1,4,4,4
80000,102,80102,1,22,4,3,6,5,4,1,5,4,3
80000,71,80071,1,30,7,7,7,4,4,4,7,4,4
80000,146,80146,1,28,4,4,5,4,4,4,4,4,4
80000,139,80139,1,19,5,4,7,5,5,1,7,5,1
80000,77,80077,1,37,6,6,6,6,6,5,6,6,6
80000,76,80076,2,28,4,3,5,3,2,2,6,5,2
80000,73,80073,2,31,4,4,4,4,4,3,5,4,4
80000,72,80072,1,57,7,7,7,7,7,7,7,7,6
80000,68,80068,2,20,7,7,7,7,7,7,7,7,4
80000,75,80075,1,21,6,6,6,6,6,4,6,6,3
80000,140,80140,2,22,5,5,6,5,5,4,5,5,4
80000,145,80145,1,64,7,7,7,7,7,7,7,7,7
80000,144,80144,2,60,7,7,7,7,7,7,7,7,7
80000,149,80149,2,50,6,7,7,6,6,6,7,7,5
80000,150,80150,2,49,6,7,7,7,7,7,7,7,7
80000,141,80141,1,59,7,6,7,6,6,5,6,6,6
80000,142,80142,2,58,6,6,7,6,5,5,5,5,4
80000,6,80006,2,22,6,6,7,5,5,2,5,5,2
80000,131,80131,1,23,5,4,5,4,3,2,3,4,4
80000,130,80130,1,63,6,6,6,6,4,4,6,6,4
80000,129,80129,2,21,6,6,6,4,4,4,4,5,4
80000,59,80059,2,54,5,4,6,6,4,4,5,4,4
80000,70,80070,1,24,5,5,6,5,5,5,5,6,6
80000,133,80133,1,31,6,4,6,6,4,4,6,6,4
80000,128,80128,1,18,6,4,6,4,3,2,6,5,3
80000,37,80037,2,51,7,7,7,6,6,6,6,6,1
80000,65,80065,2,23,1,4,1,1,5,1,5,1,1
80000,53,80053,2,57,6,5,6,6,5,4,5,5,4
